At position   91, match pattern 5
At position  126, match pattern 3
At position  159, match pattern 3
At position  182, match pattern 4
At position  187, match pattern 3
At position  206, match pattern 3
At position  239, match pattern 4
At position  259, match pattern 4
At position  348, match pattern 4
At position  388, match pattern 3
At position  434, match pattern 3
At position  512, match pattern 4
At position  529, match pattern 4
At position  566, match pattern 3
At position  575, match pattern 5
At position  589, match pattern 3
At position  602, match pattern 4
At position  622, match pattern 4
At position  635, match pattern 6
At position  635, match pattern 7
At position  848, match pattern 1
At position  859, match pattern 3
At position  862, match pattern 2
At position  933, match pattern 3
At position  947, match pattern 4
At position  961, match pattern 4
At position 1029, match pattern 3
At position 1044, match pattern 4
At position 1075, match pattern 3
At position 1116, match pattern 3
At position 1155, match pattern 3
At position 1198, match pattern 3
At position 1243, match pattern 3
At position 1378, match pattern 3
