At position    5, match pattern 1154
At position    6, match pattern 3399
At position    7, match pattern 3532
At position   14, match pattern 4236
At position   20, match pattern 6494
At position   21, match pattern 3897
At position   23, match pattern 7267
At position   24, match pattern 3623
At position   28, match pattern 4888
At position   31, match pattern 4661
At position   34, match pattern 3179
At position   36, match pattern 303
At position   39, match pattern 2730
At position   40, match pattern 486
At position   41, match pattern 7173
At position   42, match pattern 3378
At position   48, match pattern 4035
At position   52, match pattern 7836
At position   53, match pattern 3399
At position   54, match pattern 3532
At position   58, match pattern 3333
At position   61, match pattern 5764
At position   63, match pattern 107
At position   66, match pattern 4380
At position   70, match pattern 7276
At position   71, match pattern 4926
At position   73, match pattern 3532
At position   75, match pattern 6745
At position   80, match pattern 5921
At position   82, match pattern 4411
At position   85, match pattern 645
At position   89, match pattern 4595
At position   94, match pattern 4864
At position   97, match pattern 7178
At position   98, match pattern 3333
At position  102, match pattern 2521
At position  104, match pattern 2444
At position  107, match pattern 7218
At position  119, match pattern 4807
At position  125, match pattern 3181
At position  127, match pattern 303
At position  130, match pattern 5069
At position  132, match pattern 5939
At position  133, match pattern 2444
At position  138, match pattern 7301
At position  148, match pattern 1154
At position  149, match pattern 3399
At position  150, match pattern 3532
At position  158, match pattern 435
At position  163, match pattern 3532
At position  166, match pattern 3026
At position  174, match pattern 550
At position  175, match pattern 7751
At position  177, match pattern 5758
At position  180, match pattern 7172
At position  181, match pattern 3321
At position  182, match pattern 486
At position  186, match pattern 435
At position  191, match pattern 4174
At position  192, match pattern 3532
At position  194, match pattern 7133
At position  195, match pattern 2444
At position  200, match pattern 7276
At position  203, match pattern 7173
At position  204, match pattern 3333
At position  208, match pattern 7276
At position  209, match pattern 4926
At position  211, match pattern 3532
At position  219, match pattern 435
At position  222, match pattern 256
At position  224, match pattern 6587
At position  227, match pattern 4083
At position  228, match pattern 2264
At position  232, match pattern 3623
At position  236, match pattern 4739
At position  240, match pattern 7915
At position  241, match pattern 4926
At position  246, match pattern 303
At position  250, match pattern 7784
At position  255, match pattern 3623
At position  258, match pattern 7834
At position  259, match pattern 3399
At position  260, match pattern 3532
At position  264, match pattern 7217
At position  265, match pattern 3468
At position  270, match pattern 4739
At position  274, match pattern 7915
At position  275, match pattern 4926
At position  280, match pattern 1301
At position  284, match pattern 3623
At position  289, match pattern 7276
At position  292, match pattern 1329
At position  298, match pattern 3532
At position  299, match pattern 1054
At position  300, match pattern 486
At position  304, match pattern 3538
At position  307, match pattern 435
At position  310, match pattern 303
At position  314, match pattern 4134
At position  315, match pattern 3553
At position  319, match pattern 4113
At position  322, match pattern 6636
At position  323, match pattern 4888
At position  325, match pattern 6745
At position  331, match pattern 3145
At position  336, match pattern 6840
At position  337, match pattern 7276
At position  338, match pattern 4926
At position  342, match pattern 2398
At position  344, match pattern 1621
At position  345, match pattern 4959
At position  347, match pattern 5720
At position  348, match pattern 183
