At position    5, match pattern 1154
At position   36, match pattern 303
At position   40, match pattern 486
At position   63, match pattern 107
At position   85, match pattern 645
At position  102, match pattern 2521
At position  104, match pattern 2444
At position  127, match pattern 303
At position  133, match pattern 2444
At position  148, match pattern 1154
At position  158, match pattern 435
At position  174, match pattern 550
At position  182, match pattern 486
At position  186, match pattern 435
At position  195, match pattern 2444
At position  219, match pattern 435
At position  222, match pattern 256
At position  228, match pattern 2264
At position  246, match pattern 303
At position  280, match pattern 1301
At position  292, match pattern 1329
At position  299, match pattern 1054
At position  300, match pattern 486
At position  307, match pattern 435
At position  310, match pattern 303
At position  342, match pattern 2398
At position  344, match pattern 1621
At position  348, match pattern 183
At position  369, match pattern 2541
At position  374, match pattern 183
At position  378, match pattern 303
At position  384, match pattern 107
At position  390, match pattern 2308
At position  397, match pattern 325
At position  415, match pattern 486
At position  422, match pattern 2444
At position  427, match pattern 2541
At position  431, match pattern 303
At position  437, match pattern 486
At position  449, match pattern 1115
At position  453, match pattern 94
At position  460, match pattern 2151
At position  463, match pattern 303
At position  469, match pattern 486
At position  484, match pattern 2257
At position  504, match pattern 2300
At position  508, match pattern 2567
At position  510, match pattern 1189
At position  518, match pattern 107
At position  522, match pattern 175
At position  525, match pattern 206
At position  530, match pattern 308
At position  541, match pattern 249
At position  561, match pattern 658
At position  563, match pattern 1064
At position  573, match pattern 2541
At position  579, match pattern 2444
At position  589, match pattern 107
At position  602, match pattern 2444
At position  652, match pattern 2300
At position  659, match pattern 486
At position  670, match pattern 430
At position  742, match pattern 486
At position  746, match pattern 1993
At position  752, match pattern 2444
At position  756, match pattern 1115
At position  760, match pattern 94
At position  876, match pattern 1064
At position  891, match pattern 486
At position  901, match pattern 486
At position  915, match pattern 1115
At position  919, match pattern 94
At position  931, match pattern 834
At position  952, match pattern 107
At position  969, match pattern 1995
At position  975, match pattern 2444
At position  999, match pattern 107
At position 1003, match pattern 102
At position 1016, match pattern 486
At position 1027, match pattern 834
At position 1034, match pattern 2151
At position 1040, match pattern 265
At position 1061, match pattern 1992
At position 1067, match pattern 2444
At position 1072, match pattern 708
At position 1077, match pattern 2444
At position 1096, match pattern 486
At position 1102, match pattern 303
At position 1124, match pattern 1115
At position 1128, match pattern 94
At position 1135, match pattern 659
At position 1137, match pattern 1302
At position 1143, match pattern 236
At position 1159, match pattern 486
At position 1171, match pattern 303
At position 1175, match pattern 2151
At position 1230, match pattern 303
At position 1247, match pattern 486
At position 1253, match pattern 486
At position 1267, match pattern 2524
At position 1269, match pattern 2444
At position 1275, match pattern 1919
At position 1288, match pattern 303
At position 1292, match pattern 1547
At position 1299, match pattern 486
At position 1328, match pattern 1817
At position 1345, match pattern 94
At position 1350, match pattern 1701
At position 1359, match pattern 237
At position 1363, match pattern 417
At position 1385, match pattern 265
At position 1414, match pattern 451
At position 1423, match pattern 2292
At position 1438, match pattern 2444
At position 1440, match pattern 2482
At position 1442, match pattern 486
At position 1451, match pattern 323
At position 1464, match pattern 300
At position 1497, match pattern 486
At position 1506, match pattern 435
At position 1513, match pattern 699
At position 1549, match pattern 303
At position 1559, match pattern 486
At position 1565, match pattern 14
At position 1581, match pattern 486
At position 1595, match pattern 303
At position 1613, match pattern 435
At position 1637, match pattern 946
At position 1646, match pattern 645
At position 1667, match pattern 486
At position 1693, match pattern 1509
At position 1732, match pattern 74
At position 1737, match pattern 486
At position 1765, match pattern 1913
At position 1812, match pattern 1154
At position 1823, match pattern 107
At position 1833, match pattern 2444
At position 1878, match pattern 2264
At position 1897, match pattern 183
At position 1912, match pattern 486
At position 1932, match pattern 946
At position 1941, match pattern 7
At position 1944, match pattern 2308
At position 1972, match pattern 486
At position 1976, match pattern 2264
At position 1986, match pattern 960
At position 2005, match pattern 102
At position 2013, match pattern 2541
At position 2050, match pattern 107
At position 2060, match pattern 2313
At position 2067, match pattern 2260
At position 2090, match pattern 310
At position 2145, match pattern 645
At position 2154, match pattern 325
At position 2161, match pattern 1527
At position 2172, match pattern 107
At position 2199, match pattern 2541
At position 2206, match pattern 339
At position 2210, match pattern 728
At position 2216, match pattern 303
At position 2220, match pattern 310
At position 2251, match pattern 2552
At position 2253, match pattern 289
At position 2270, match pattern 303
At position 2273, match pattern 435
At position 2293, match pattern 303
At position 2300, match pattern 734
At position 2320, match pattern 985
At position 2331, match pattern 228
At position 2337, match pattern 2151
At position 2354, match pattern 303
At position 2381, match pattern 893
At position 2392, match pattern 975
At position 2393, match pattern 237
At position 2431, match pattern 310
At position 2449, match pattern 303
At position 2453, match pattern 447
At position 2468, match pattern 14
At position 2474, match pattern 310
At position 2505, match pattern 249
At position 2532, match pattern 303
At position 2537, match pattern 303
At position 2540, match pattern 435
At position 2543, match pattern 303
At position 2553, match pattern 303
At position 2566, match pattern 303
At position 2573, match pattern 734
At position 2600, match pattern 310
At position 2629, match pattern 435
At position 2646, match pattern 228
At position 2652, match pattern 2151
At position 2669, match pattern 303
At position 2686, match pattern 237
At position 2695, match pattern 237
At position 2707, match pattern 661
