At position    6, match pattern 799
At position    7, match pattern 932
At position   14, match pattern 1636
At position   21, match pattern 1297
At position   24, match pattern 1023
At position   28, match pattern 2288
At position   31, match pattern 2061
At position   34, match pattern 579
At position   39, match pattern 130
At position   42, match pattern 778
At position   48, match pattern 1435
At position   53, match pattern 799
At position   54, match pattern 932
At position   58, match pattern 733
At position   66, match pattern 1780
At position   71, match pattern 2326
At position   73, match pattern 932
At position   82, match pattern 1811
At position   89, match pattern 1995
At position   94, match pattern 2264
At position   98, match pattern 733
At position  119, match pattern 2207
At position  125, match pattern 581
At position  130, match pattern 2469
At position  149, match pattern 799
At position  150, match pattern 932
At position  163, match pattern 932
At position  166, match pattern 426
At position  181, match pattern 721
At position  191, match pattern 1574
At position  192, match pattern 932
At position  204, match pattern 733
At position  209, match pattern 2326
At position  211, match pattern 932
At position  227, match pattern 1483
At position  232, match pattern 1023
At position  236, match pattern 2139
At position  241, match pattern 2326
At position  255, match pattern 1023
At position  259, match pattern 799
At position  260, match pattern 932
At position  265, match pattern 868
At position  270, match pattern 2139
At position  275, match pattern 2326
At position  284, match pattern 1023
At position  298, match pattern 932
At position  304, match pattern 938
At position  314, match pattern 1534
At position  315, match pattern 953
At position  319, match pattern 1513
At position  323, match pattern 2288
At position  331, match pattern 545
At position  338, match pattern 2326
At position  345, match pattern 2359
At position  365, match pattern 733
At position  368, match pattern 2142
At position  373, match pattern 2431
At position  387, match pattern 1987
At position  388, match pattern 2336
At position  404, match pattern 210
At position  405, match pattern 1023
At position  409, match pattern 2361
At position  414, match pattern 721
At position  418, match pattern 695
At position  421, match pattern 2550
At position  426, match pattern 2142
At position  436, match pattern 721
At position  441, match pattern 733
At position  444, match pattern 1680
At position  446, match pattern 1023
At position  468, match pattern 721
At position  473, match pattern 798
At position  489, match pattern 2355
At position  491, match pattern 778
At position  499, match pattern 1777
At position  503, match pattern 158
At position  511, match pattern 1297
At position  526, match pattern 932
At position  536, match pattern 2326
At position  546, match pattern 699
At position  554, match pattern 821
At position  555, match pattern 932
At position  558, match pattern 932
At position  570, match pattern 733
At position  573, match pattern 14
At position  575, match pattern 2562
At position  578, match pattern 932
At position  584, match pattern 2264
At position  591, match pattern 1023
At position  595, match pattern 2326
At position  598, match pattern 1574
At position  599, match pattern 932
At position  604, match pattern 1023
At position  615, match pattern 2326
At position  619, match pattern 932
At position  622, match pattern 2029
At position  627, match pattern 1987
At position  628, match pattern 2336
At position  632, match pattern 1545
At position  633, match pattern 932
At position  642, match pattern 1690
At position  651, match pattern 158
At position  658, match pattern 721
At position  669, match pattern 2478
At position  674, match pattern 2264
At position  678, match pattern 733
At position  683, match pattern 2326
At position  698, match pattern 1543
At position  699, match pattern 932
At position  703, match pattern 1023
At position  706, match pattern 2359
At position  717, match pattern 1585
At position  718, match pattern 932
At position  727, match pattern 1865
At position  728, match pattern 932
At position  733, match pattern 1636
At position  738, match pattern 2326
At position  741, match pattern 723
At position  747, match pattern 953
At position  767, match pattern 1023
At position  771, match pattern 733
At position  776, match pattern 2326
At position  798, match pattern 932
At position  802, match pattern 2360
At position  812, match pattern 2326
At position  815, match pattern 2355
At position  817, match pattern 778
At position  822, match pattern 1023
At position  827, match pattern 1780
At position  830, match pattern 2264
At position  834, match pattern 733
At position  850, match pattern 729
At position  856, match pattern 932
At position  858, match pattern 932
At position  869, match pattern 2028
At position  882, match pattern 2264
At position  886, match pattern 821
At position  887, match pattern 932
At position  890, match pattern 2087
At position  900, match pattern 2509
At position  907, match pattern 1297
At position  912, match pattern 733
At position  927, match pattern 2359
At position  934, match pattern 1023
At position  947, match pattern 733
At position  954, match pattern 1023
At position  958, match pattern 2264
At position  963, match pattern 2326
At position  965, match pattern 932
At position  970, match pattern 953
At position  981, match pattern 408
At position  987, match pattern 733
At position 1002, match pattern 80
At position 1010, match pattern 1129
At position 1012, match pattern 334
At position 1013, match pattern 2326
At position 1015, match pattern 1759
At position 1018, match pattern 932
At position 1019, match pattern 2288
At position 1030, match pattern 1023
At position 1035, match pattern 2288
At position 1053, match pattern 932
At position 1058, match pattern 733
At position 1062, match pattern 953
At position 1083, match pattern 972
At position 1087, match pattern 1023
At position 1093, match pattern 1297
At position 1098, match pattern 932
At position 1099, match pattern 2288
At position 1113, match pattern 2290
At position 1121, match pattern 733
At position 1139, match pattern 1780
At position 1144, match pattern 1585
At position 1145, match pattern 932
At position 1158, match pattern 721
At position 1163, match pattern 798
At position 1178, match pattern 932
At position 1182, match pattern 783
At position 1186, match pattern 310
At position 1187, match pattern 2336
At position 1191, match pattern 1987
At position 1192, match pattern 2336
At position 1196, match pattern 1784
At position 1200, match pattern 1023
At position 1209, match pattern 821
At position 1210, match pattern 932
At position 1213, match pattern 932
At position 1221, match pattern 733
At position 1225, match pattern 2326
At position 1246, match pattern 721
At position 1252, match pattern 1443
At position 1261, match pattern 2326
At position 1280, match pattern 932
At position 1283, match pattern 932
At position 1284, match pattern 2288
At position 1293, match pattern 2288
At position 1301, match pattern 932
At position 1302, match pattern 2288
At position 1320, match pattern 1023
At position 1324, match pattern 821
At position 1325, match pattern 932
At position 1331, match pattern 2562
At position 1344, match pattern 80
At position 1371, match pattern 733
At position 1375, match pattern 2326
At position 1380, match pattern 729
At position 1399, match pattern 2326
At position 1406, match pattern 1023
At position 1413, match pattern 2493
At position 1418, match pattern 1407
At position 1419, match pattern 2207
At position 1420, match pattern 2415
At position 1428, match pattern 408
At position 1433, match pattern 2290
At position 1437, match pattern 485
At position 1444, match pattern 932
At position 1445, match pattern 2288
At position 1452, match pattern 2183
At position 1453, match pattern 2355
At position 1455, match pattern 778
At position 1470, match pattern 2326
At position 1496, match pattern 721
At position 1501, match pattern 821
At position 1502, match pattern 932
At position 1510, match pattern 733
At position 1525, match pattern 1690
At position 1535, match pattern 2359
At position 1539, match pattern 821
At position 1540, match pattern 932
