At position   20, match pattern 1294
At position   23, match pattern 2067
At position   41, match pattern 1973
At position   61, match pattern 564
At position   70, match pattern 2076
At position   75, match pattern 1545
At position   80, match pattern 721
At position   97, match pattern 1978
At position  107, match pattern 2018
At position  132, match pattern 739
At position  138, match pattern 2101
At position  175, match pattern 2551
At position  177, match pattern 558
At position  180, match pattern 1972
At position  194, match pattern 1933
At position  200, match pattern 2076
At position  203, match pattern 1973
At position  208, match pattern 2076
At position  224, match pattern 1387
At position  250, match pattern 2584
At position  264, match pattern 2017
At position  289, match pattern 2076
At position  322, match pattern 1436
At position  325, match pattern 1545
At position  336, match pattern 1640
At position  337, match pattern 2076
At position  347, match pattern 520
At position  353, match pattern 2385
At position  356, match pattern 2076
At position  359, match pattern 2242
At position  364, match pattern 1973
At position  382, match pattern 564
At position  389, match pattern 558
At position  396, match pattern 2547
At position  401, match pattern 2076
At position  440, match pattern 1973
At position  472, match pattern 1997
At position  477, match pattern 1012
At position  481, match pattern 2076
At position  490, match pattern 1973
At position  517, match pattern 959
At position  524, match pattern 521
At position  539, match pattern 576
At position  565, match pattern 2387
At position  569, match pattern 1973
At position  587, match pattern 567
At position  601, match pattern 1933
At position  608, match pattern 2076
At position  613, match pattern 1640
At position  614, match pattern 2076
At position  629, match pattern 558
At position  639, match pattern 2076
At position  647, match pattern 2385
At position  657, match pattern 1972
At position  662, match pattern 2585
At position  666, match pattern 558
At position  677, match pattern 1973
At position  681, match pattern 1640
At position  682, match pattern 2076
At position  688, match pattern 2101
At position  694, match pattern 2385
At position  711, match pattern 569
At position  724, match pattern 2585
At position  751, match pattern 739
At position  770, match pattern 1973
At position  774, match pattern 1640
At position  775, match pattern 2076
At position  789, match pattern 2585
At position  792, match pattern 558
At position  816, match pattern 1973
At position  825, match pattern 1427
At position  833, match pattern 1978
At position  847, match pattern 2585
At position  855, match pattern 1271
At position  863, match pattern 319
At position  864, match pattern 895
At position  870, match pattern 1545
At position  878, match pattern 2387
At position  885, match pattern 2013
At position  911, match pattern 1973
At position  932, match pattern 525
At position  938, match pattern 325
At position  946, match pattern 1973
At position  950, match pattern 567
At position  962, match pattern 2076
At position  974, match pattern 739
At position  986, match pattern 1973
At position  990, match pattern 2584
At position  994, match pattern 2585
At position  997, match pattern 564
At position 1028, match pattern 525
At position 1042, match pattern 2584
At position 1047, match pattern 558
At position 1057, match pattern 1973
At position 1066, match pattern 558
At position 1075, match pattern 2585
At position 1092, match pattern 1298
At position 1108, match pattern 569
At position 1117, match pattern 1387
At position 1120, match pattern 1973
At position 1150, match pattern 2076
At position 1153, match pattern 2385
At position 1154, match pattern 1545
At position 1162, match pattern 1997
At position 1167, match pattern 1012
At position 1181, match pattern 1988
At position 1184, match pattern 558
At position 1188, match pattern 558
At position 1193, match pattern 558
At position 1220, match pattern 1973
At position 1234, match pattern 1685
At position 1241, match pattern 558
At position 1245, match pattern 1972
At position 1250, match pattern 691
At position 1259, match pattern 1640
At position 1260, match pattern 2076
At position 1277, match pattern 1061
At position 1279, match pattern 881
At position 1307, match pattern 558
At position 1310, match pattern 325
At position 1323, match pattern 2013
At position 1335, match pattern 2584
At position 1355, match pattern 558
At position 1364, match pattern 927
At position 1370, match pattern 1973
At position 1387, match pattern 2584
At position 1392, match pattern 2387
At position 1397, match pattern 1640
At position 1398, match pattern 2076
At position 1402, match pattern 1925
At position 1410, match pattern 2076
At position 1441, match pattern 551
At position 1448, match pattern 2076
At position 1454, match pattern 1973
At position 1469, match pattern 2076
At position 1474, match pattern 2290
At position 1480, match pattern 2101
At position 1485, match pattern 2456
At position 1490, match pattern 2585
At position 1495, match pattern 1972
At position 1500, match pattern 2013
At position 1509, match pattern 1973
At position 1518, match pattern 2584
At position 1522, match pattern 2076
At position 1530, match pattern 1796
At position 1532, match pattern 558
At position 1542, match pattern 2076
At position 1575, match pattern 2076
At position 1578, match pattern 691
At position 1585, match pattern 2076
At position 1589, match pattern 1973
At position 1599, match pattern 2076
At position 1625, match pattern 2290
At position 1631, match pattern 2101
At position 1641, match pattern 721
At position 1648, match pattern 628
At position 1652, match pattern 2101
At position 1665, match pattern 1972
At position 1670, match pattern 1973
At position 1684, match pattern 1640
At position 1685, match pattern 2076
At position 1702, match pattern 1973
At position 1714, match pattern 1640
At position 1715, match pattern 2076
At position 1729, match pattern 558
At position 1736, match pattern 546
At position 1744, match pattern 1973
At position 1756, match pattern 1640
At position 1757, match pattern 2076
At position 1783, match pattern 1640
At position 1784, match pattern 2076
At position 1800, match pattern 519
At position 1818, match pattern 2076
At position 1821, match pattern 564
At position 1832, match pattern 1933
At position 1836, match pattern 2076
At position 1840, match pattern 2076
At position 1847, match pattern 1222
At position 1854, match pattern 1988
At position 1857, match pattern 558
At position 1861, match pattern 558
At position 1869, match pattern 1978
At position 1874, match pattern 2076
At position 1885, match pattern 1077
At position 1906, match pattern 2584
At position 1910, match pattern 1972
At position 1954, match pattern 1874
At position 1961, match pattern 488
At position 1984, match pattern 2505
At position 1997, match pattern 2003
At position 2012, match pattern 1963
At position 2022, match pattern 2003
At position 2029, match pattern 1640
At position 2030, match pattern 2076
At position 2044, match pattern 1973
At position 2048, match pattern 565
At position 2057, match pattern 558
At position 2080, match pattern 813
At position 2096, match pattern 1545
At position 2108, match pattern 62
At position 2117, match pattern 558
At position 2120, match pattern 1997
At position 2127, match pattern 558
At position 2137, match pattern 2076
At position 2140, match pattern 721
At position 2153, match pattern 2547
At position 2158, match pattern 2076
At position 2164, match pattern 2067
At position 2170, match pattern 567
At position 2178, match pattern 1973
At position 2191, match pattern 1077
At position 2198, match pattern 1963
At position 2236, match pattern 1973
At position 2263, match pattern 920
At position 2297, match pattern 502
At position 2303, match pattern 1545
At position 2309, match pattern 1973
At position 2313, match pattern 1066
At position 2317, match pattern 2585
At position 2347, match pattern 1170
At position 2360, match pattern 2107
At position 2363, match pattern 2387
At position 2366, match pattern 1545
At position 2382, match pattern 920
At position 2384, match pattern 1973
At position 2400, match pattern 628
At position 2406, match pattern 628
At position 2412, match pattern 2456
At position 2421, match pattern 813
At position 2437, match pattern 1545
At position 2443, match pattern 1878
At position 2458, match pattern 485
At position 2486, match pattern 1973
At position 2490, match pattern 2063
At position 2497, match pattern 628
At position 2503, match pattern 576
At position 2514, match pattern 813
At position 2527, match pattern 920
At position 2570, match pattern 502
At position 2576, match pattern 1545
At position 2584, match pattern 628
At position 2616, match pattern 1973
At position 2620, match pattern 1066
At position 2632, match pattern 46
At position 2637, match pattern 558
At position 2662, match pattern 1170
At position 2675, match pattern 2107
At position 2678, match pattern 2387
At position 2690, match pattern 1973
At position 2694, match pattern 2543
At position 2710, match pattern 914
